f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,filename,additive_category
150.14539999999997,287.4879999999999,572.241,727.9999999999999,2459.0,5054.0,6048.0,7120.0,17.0,38.0,62.0,88.0,100.0,250.0,342.0,416.0,12.191900000000002,29.492000000000015,43.870599999999975,56.71280000000001,3.61,29.032,24.224999999999998,54.54899999999998,841.0,1029.5,870.0,1827.0,1.0,4.5,5.0,10.0,20.5,43.5,69.0,110.0,1.9043999999999999,4.5471,5.313000000000001,9.8532,0.0,-6.7299999999999995,-3.2499999999999996,-9.709999999999996,0.0,95.0,115.0,227.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,22.0,0.0,2.9149999999999996,3.0499999999999976,6.659999999999997,611.5037000000002,1279.6739999999998,2067.7856000000015,2719.122,2660.0,5640.0,8552.0,9684.0,89.0,190.0,308.0,414.0,498.0,1262.0,1860.0,2164.0,39.58410000000001,94.883,145.48199999999997,178.83859999999993,11.545600000000004,9.51999999999999,21.524977777777778,18.17866666666668,62.333333333333385,52.0,110.44444444444436,99.33333333333329,1.0,1.1111111111111127,2.2222222222222254,2.1111111111111134,1.333333333333333,4.0,5.333333333333332,7.333333333333328,0.5361888888888878,0.6279777777777789,1.1633333333333333,1.1917888888888888,31.0533333333333,71.81777777777776,104.19835866666659,134.34444444444463,0.0,0.8999999999999991,1.0866666666666662,1.745555555555555,0.0,2.0,3.3333333333333357,3.888888888888886,0.0,0.0,0.0,0.0,0.0,-2.0,-1.7777777777777755,-3.888888888888886,0.0,-0.040000000000000036,0.04444444444444441,-0.07777777777777786,0.0,-6.199999999999993,-5.557135555555553,-11.966666666666667,10.5376,17.154,26.471600000000013,41.02599999999999,56.5,71.25,143.0,169.0,1.0,2.25,3.0,5.25,6.75,14.75,20.75,29.75,0.5476999999999996,1.0666750000000016,1.6948000000000005,2.4782249999999992,41.425000000000004,138.57946050000007,194.59499999999994,308.3433762500002,0.0,1.5649999999999986,1.1800000000000004,4.085000000000006,0.0,6.5,2.5,16.25,0.0,0.0,0.0,0.0,0.0,1.5,-0.25,0.5,0.0,0.24499999999999966,-0.04999999999999997,0.5500000000000004,0.0,-4.7303325,-8.85000000000001,-13.31244249999999,XAVKIR_clean.cif,2
216.89310000000003,410.5896,1006.5084,1475.5277999999998,3816.0,8322.0,16596.0,15576.0,27.0,60.0,120.0,180.0,180.0,516.0,894.0,1014.0,18.8379,46.081199999999995,89.10239999999999,118.674,2.7224999999999997,28.182,32.306999999999995,69.63,900.0,1170.0,2940.0,2430.0,1.0,5.0,8.0,15.0,25.0,65.0,140.0,180.0,1.7161000000000002,4.8077000000000005,9.432,12.7463,0.0,-8.83,-6.380000000000002,-17.450000000000006,0.0,111.0,142.0,369.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,39.0,0.0,2.8800000000000003,3.2800000000000007,9.920000000000002,50.40980000000001,102.93920000000001,134.48340000000005,49.19200000000001,221.0,458.0,492.0,52.0,7.0,14.0,18.0,8.0,32.0,68.0,74.0,20.0,3.1470999999999996,6.884600000000002,7.965799999999999,2.2496000000000005,9.241600000000002,16.49706666666666,26.407466666666668,4.458666666666667,49.0,88.66666666666664,102.66666666666667,4.666666666666666,1.0,2.0,3.3333333333333335,0.6666666666666666,4.0,10.666666666666666,12.0,1.3333333333333333,0.5625,1.145,1.505,0.18500000000000003,54.76,148.0,173.23015200000006,22.235075999999996,0.0,0.6533333333333335,1.446666666666667,0.5599999999999998,0.0,1.3333333333333333,8.666666666666668,4.0,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,-0.02666666666666669,0.49333333333333323,0.25333333333333335,0.0,-5.200000000000001,1.2571866666666671,1.928593333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LATPIG_clean.cif,1
127.89880000000001,244.9279999999999,456.19520000000006,525.6319999999998,2338.0,4480.0,4832.0,6016.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.443599999999998,25.11200000000001,34.054399999999994,43.099199999999996,3.61,26.144000000000002,19.38,45.524,841.0,928.0,696.0,1624.0,1.0,4.0,4.0,8.0,16.0,32.0,48.0,80.0,1.9043999999999996,4.029599999999999,4.2504,8.28,0.0,-6.16,-2.5999999999999996,-8.76,0.0,84.0,92.0,176.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,12.0,0.0,2.5999999999999996,2.4399999999999995,5.039999999999999,177.08939999999998,355.01099999999997,557.1304,682.442,768.0,1560.0,2272.0,2360.0,26.0,54.0,84.0,108.0,138.0,342.0,484.0,524.0,11.5274,26.842200000000002,39.46120000000001,45.10840000000001,11.833599999999999,8.771999999999997,20.605599999999992,17.543999999999993,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999998,0.5621,1.0950000000000002,1.1242,28.089999999999993,59.88999999999999,87.98,119.77999999999999,0.0,0.8900000000000005,0.8900000000000005,1.780000000000001,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOYYIJ_clean.cif,1
127.8988,244.9279999999999,456.19520000000006,525.6319999999998,2338.0,4480.0,4832.0,6016.0,14.0,32.0,48.0,64.0,80.0,192.0,256.0,320.0,10.4436,25.112000000000005,34.054399999999994,43.099199999999996,3.61,26.144000000000002,19.38,45.524,841.0,928.0,696.0,1624.0,1.0,4.0,4.0,8.0,16.0,32.0,48.0,80.0,1.9043999999999999,4.029600000000001,4.2504,8.28,0.0,-6.1599999999999975,-2.600000000000001,-8.759999999999994,0.0,84.0,92.0,176.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,12.0,0.0,2.600000000000001,2.439999999999998,5.039999999999995,246.23199999999997,465.24319999999994,722.7847999999999,877.715,1192.0,2258.0,3368.0,3584.0,32.0,66.0,100.0,126.0,166.0,404.0,560.0,598.0,15.696,34.82020000000001,50.740400000000015,58.63020000000002,11.833599999999999,8.771999999999993,20.605599999999985,17.543999999999986,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329000000000004,0.5621000000000006,1.0949999999999993,1.1242000000000012,28.08999999999999,59.88999999999999,87.98,119.77999999999999,0.0,0.8900000000000005,0.8900000000000005,1.780000000000001,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,9.241600000000004,16.99360000000001,23.255999999999986,44.38400000000001,49.0,91.0,126.0,182.0,1.0,2.0,3.0,6.0,4.0,10.0,18.0,28.0,0.5625,1.1400000000000003,1.732500000000001,2.8649999999999984,54.76000000000005,138.38000000000008,250.86000000000013,401.185228,0.0,0.4900000000000008,1.4699999999999995,3.639999999999997,0.0,1.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,-1.0,-3.0,-2.0,0.0,-0.020000000000000018,-0.06000000000000005,0.6799999999999998,0.0,-3.9000000000000035,-11.699999999999998,-9.814219999999992,OFOCUI_clean.cif,2
114.20560000000002,214.9152,368.43406666666664,533.9263333333332,1981.0,3614.6666666666665,6298.666666666667,4542.666666666667,14.666666666666666,29.333333333333332,48.0,67.33333333333333,77.33333333333333,202.66666666666666,297.3333333333333,256.6666666666667,10.458499999999999,22.520533333333336,37.901199999999996,41.65153333333334,3.61,24.776,33.151199999999996,61.673999999999985,841.0,875.8000000000001,1966.2,2192.4,1.0,4.0,7.0,11.200000000000001,16.400000000000002,44.199999999999996,81.8,132.0,1.9043999999999992,4.07928,8.084040000000002,11.669279999999999,0.0,-5.44,-4.148,-11.180000000000001,0.0,85.8,135.20000000000002,249.20000000000002,0.0,0.0,0.0,0.0,0.0,5.3999999999999995,7.2,12.4,0.0,2.5639999999999996,3.801999999999999,6.999999999999999,100.7446,196.46260000000004,302.85790000000003,301.4585000000001,422.5,829.0,1156.0,950.0,14.5,29.0,45.0,45.0,74.0,172.0,213.0,189.0,6.15145,13.898900000000003,19.236100000000004,18.010499999999997,10.722742857142856,12.082742857142852,23.70011428571428,23.70514285714285,57.57142857142857,65.42857142857143,128.00000000000003,78.85714285714286,1.0,1.4285714285714286,2.5714285714285716,3.142857142857143,2.2857142857142856,6.285714285714285,10.857142857142858,9.142857142857142,0.5455857142857141,0.811914285714286,1.442142857142857,1.283114285714286,39.52,97.65142857142858,153.24,149.51305257142863,0.0,0.7885714285714289,0.9285714285714289,2.5971428571428574,0.0,1.7142857142857142,2.0,12.85714285714286,0.0,0.0,0.0,0.0,0.0,-1.7142857142857142,-2.5714285714285716,-1.1428571428571428,0.0,-0.03428571428571432,-0.040000000000000036,0.5999999999999999,0.0,-5.6571428571428575,-6.771428571428572,-3.0121885714285717,6.762057142857141,5.012571428571426,11.774628571428565,10.025142857142852,36.57142857142857,27.428571428571427,64.0,54.857142857142854,0.5714285714285714,0.5714285714285714,1.1428571428571428,1.1428571428571428,0.5714285714285714,1.7142857142857142,2.2857142857142856,3.4285714285714284,0.3045142857142856,0.32120000000000004,0.6257142857142858,0.6424000000000001,16.051428571428566,34.22285714285714,50.27428571428572,68.44571428571427,0.0,0.5085714285714288,0.5085714285714288,1.0171428571428576,0.0,1.1428571428571428,1.1428571428571428,2.2857142857142856,0.0,0.0,0.0,0.0,0.0,-1.1428571428571428,-1.1428571428571428,-2.2857142857142856,0.0,-0.022857142857142878,-0.022857142857142878,-0.045714285714285756,0.0,-3.4285714285714293,-3.4285714285714293,-6.8571428571428585,RUFZID_clean.cif,1
183.89819999999997,342.6239999999999,1307.0143999999998,1118.6879999999999,8922.0,17280.0,23666.0,13824.0,20.0,56.0,130.0,136.0,220.0,752.0,1116.0,816.0,15.596999999999998,52.73519999999999,92.11279999999996,87.07440000000001,1.4399999999999997,33.024,19.799999999999994,34.87200000000001,3969.0,4032.0,6237.0,4284.0,1.0,8.0,7.0,10.0,64.0,160.0,208.0,208.0,2.822399999999999,9.8112,10.583999999999998,12.667199999999998,0.0,-17.92,-8.1,-17.060000000000002,0.0,440.0,342.0,562.0,0.0,0.0,0.0,0.0,0.0,44.0,30.0,54.0,0.0,7.6000000000000005,5.46,9.26,118.71440000000001,219.096,337.3204,385.3869999999999,548.0,1008.0,1456.0,1420.0,16.0,32.0,48.0,58.0,80.0,192.0,256.0,250.0,7.422399999999999,16.262400000000007,23.044800000000006,24.6794,11.833599999999995,8.771999999999993,20.605599999999985,17.543999999999986,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999998,0.5621000000000004,1.0949999999999998,1.1242000000000008,28.09,59.89000000000002,87.98,119.78000000000004,0.0,0.8900000000000005,0.8900000000000005,1.780000000000001,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OPENUT_clean.cif,1
196.90319999999997,364.36199999999985,1327.3856,1076.0399999999997,9248.0,17168.0,22720.0,17152.0,22.0,60.0,136.0,140.0,236.0,792.0,1058.0,968.0,16.8502,55.610800000000005,93.3064,95.57560000000004,1.44,31.956,16.739999999999995,42.06,4096.0,3968.0,6016.0,5248.0,1.0,8.0,6.0,12.0,64.0,160.0,184.0,256.0,2.8560999999999996,9.9372,9.362599999999997,15.2776,0.0,-17.03,-6.749999999999999,-20.650000000000002,0.0,450.0,290.0,686.0,0.0,0.0,0.0,0.0,0.0,44.0,25.0,64.0,0.0,7.64,4.6,11.240000000000002,220.90229999999997,428.3702,660.4596,800.889,1029.0,2006.0,2928.0,3060.0,30.0,62.0,94.0,118.0,156.0,380.0,522.0,542.0,14.174200000000003,31.95580000000001,46.19420000000001,52.30940000000001,11.072014285714287,10.954071428571426,19.5198,18.498428571428573,60.0,60.0,106.2857142857143,94.2857142857143,1.0,1.2857142857142858,2.0,2.285714285714285,2.142857142857143,4.714285714285714,6.0,8.571428571428571,0.5414714285714285,0.7271000000000001,1.1079714285714284,1.2144,42.31857142857143,86.68714285714283,111.89428571428573,153.70295514285712,0.0,0.5085714285714288,0.7628571428571432,1.6257142857142861,0.0,1.1428571428571426,1.714285714285714,4.857142857142857,0.0,0.0,0.0,0.0,0.0,-1.1428571428571426,-1.714285714285714,-2.857142857142857,0.0,-0.022857142857142878,-0.034285714285714315,0.04571428571428566,0.0,-3.4285714285714297,-5.142857142857145,-8.344888571428571,9.2416,16.9936,23.256,44.38400000000001,49.0,91.0,126.0,182.0,1.0,2.0,3.0,6.0,4.0,10.0,18.0,28.0,0.5625,1.1400000000000003,1.7325,2.8649999999999998,54.76,138.38,250.86000000000007,401.18522800000005,0.0,0.4900000000000002,1.4700000000000006,3.6400000000000006,0.0,1.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,-1.0,-3.0,-2.0,0.0,-0.020000000000000018,-0.06000000000000005,0.6799999999999998,0.0,-3.8999999999999995,-11.700000000000001,-9.814219999999999,INOVEN_clean.cif,1
367.9899999999998,622.5023999999995,1853.3664000000008,2306.7264000000005,19392.0,27648.0,28224.0,36864.0,40.0,96.0,192.0,288.0,288.0,768.0,1152.0,1536.0,31.060000000000038,85.49759999999998,138.46080000000003,193.4207999999998,1.4884,25.180799999999998,18.666,43.846799999999995,4356.0,3168.0,2376.0,5544.0,1.0,6.0,6.0,12.0,36.0,72.0,108.0,180.0,2.7889,7.3145999999999995,7.7154,15.029999999999998,0.0,-13.319999999999997,-7.9799999999999995,-21.299999999999997,0.0,348.0,360.0,708.0,0.0,0.0,0.0,0.0,0.0,24.0,18.0,42.0,0.0,5.639999999999999,5.4,11.04,144.0441,255.96899999999997,399.6455999999999,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.9442,19.126800000000003,27.591,31.000200000000007,11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999998,0.5621,1.095,1.1242,28.09,59.88999999999999,87.98,119.77999999999999,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YEMJAC_clean.cif,2
102.4566,184.72799999999995,324.68919999999997,337.46399999999994,2328.0,3936.0,5728.0,3936.0,12.0,26.0,38.0,42.0,64.0,156.0,210.0,174.0,9.001199999999999,20.133399999999998,29.277800000000003,27.550200000000007,2.7224999999999997,19.866,17.44875,37.430249999999994,900.0,840.0,1530.0,1590.0,1.0,3.5,4.5,7.5,12.5,28.5,49.5,60.0,1.7161000000000006,3.34705,5.24655,7.35565,0.0,-6.265000000000001,-3.15,-10.31,0.0,77.0,84.0,172.0,0.0,0.0,0.0,0.0,0.0,4.5,2.0,9.5,0.0,2.0300000000000007,1.8900000000000003,4.210000000000001,395.1581999999999,774.3330000000007,1246.0512000000003,1583.8560000000007,1860.0,3672.0,5664.0,6336.0,54.0,114.0,180.0,240.0,294.0,738.0,1092.0,1296.0,25.824600000000018,59.45940000000003,90.47880000000002,111.24960000000007,11.833599999999997,8.771999999999993,20.605599999999985,17.543999999999986,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999998,0.5621000000000004,1.0949999999999998,1.1242000000000008,28.09,59.89000000000002,87.98,119.78000000000004,0.0,0.8900000000000005,0.8900000000000005,1.780000000000001,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,11.833599999999995,8.771999999999993,20.605599999999985,17.543999999999986,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999998,0.5621000000000004,1.0949999999999998,1.1242000000000008,28.09,59.89000000000002,87.98,119.78000000000004,0.0,0.8900000000000005,0.8900000000000005,1.780000000000001,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,QUQFIS_clean.cif,1
126.391,241.12106666666662,487.27773333333334,420.6432,5264.0,7424.0,9216.0,6528.0,14.0,33.333333333333336,50.666666666666664,52.0,92.0,241.33333333333334,306.6666666666667,261.3333333333333,11.0156,27.720533333333336,37.2996,35.448800000000006,2.856099999999999,25.19226666666667,16.26906666666667,31.805800000000005,2304.0,1664.0,2496.0,2112.0,1.0,4.333333333333333,4.0,6.333333333333333,20.333333333333332,43.666666666666664,57.0,68.33333333333333,2.1904,4.681733333333333,5.258933333333332,7.039866666666666,0.0,-7.583333333333333,-2.866666666666666,-8.116666666666665,0.0,173.33333333333334,140.0,260.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,10.666666666666666,0.0,3.25,2.3666666666666667,4.616666666666667,395.1581999999999,774.3330000000007,1246.0512000000003,1583.8560000000004,1860.0,3672.0,5664.0,6336.0,54.0,114.0,180.0,240.0,294.0,738.0,1092.0,1296.0,25.824600000000018,59.45940000000003,90.47880000000002,111.24960000000007,11.833599999999995,8.771999999999993,20.605599999999985,17.543999999999986,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999998,0.5621000000000004,1.095,1.1242000000000008,28.09,59.89000000000002,87.98,119.78000000000004,0.0,0.8900000000000005,0.8900000000000005,1.780000000000001,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QUQFOY_clean.cif,1
